Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Arduino Board.PrjPcb|ReportField=ProjectFullPath~C:\Users\Sophia\AppData\Local\Temp\Releases\Snapshot\1\Arduino Board.PrjPcb|ReportField=Title~BOM_PartType For Project [Arduino Board.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~122|ReportField=ReportTime~8:00:38 PM|ReportField=ReportDate~2015-12-02|ReportField=ReportDateTime~2015-12-02 8:00:38 PM|ReportField=OutputName~BOM_PartType|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~|ReportField=CurrentTime~|ReportField=Date~2015-11-11 8:06:48 PM|ReportField=DocumentFullPathAndName~|ReportField=DocumentName~|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~|ReportField=Organization~|ReportField=ProjectName~|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~Arduino-Pro-Mini|ReportField=DataSourceFileName~Arduino Board.PrjPcb|ReportField=DataSourceFullPath~C:\Users\Sophia\AppData\Local\Temp\Releases\Snapshot\1\Arduino Board.PrjPcb
ITG-3200|ITG-3200 3-axis gyro, digital output, qfn24 package|3-AXIS_GYRO|QFN-24|ITG-3200|2
HMC5883L||3-AXIS_MAG|LPCC16|HMC5883L|2
0.1uF|CapacitorStandard 0603 ceramic capacitor, and 0.1" leaded capacitor.|C1, C1, C2, C3, C8, C9, C10, C10|0603-CAP|CAP0603-CAP|8
100 nF|CAP CER 0.1UF 16V 10% X7R 0603|C1, C2, C3, C4|PCB-19299713-1|CMP-19299713-2|4
100nF|CapacitorStandard 0603 ceramic capacitor, and 0.1" leaded capacitor.|C2, C2, C3, C3, C4, C4, C14, C14|0402-CAP|CAP0402-CAP|8
0.22|CapacitorStandard 0603 ceramic capacitor, and 0.1" leaded capacitor.|C5|0402-CAP|CAP0402-CAP|2
0.1uF|CapacitorStandard 0603 ceramic capacitor, and 0.1" leaded capacitor.|C6, C6, C7, C7, C12, C12|0402-CAP|CAP0402-CAP|6
10nF|CapacitorStandard 0603 ceramic capacitor, and 0.1" leaded capacitor.|C11|0402-CAP|CAP0402-CAP|2
2.2nF|CapacitorStandard 0603 ceramic capacitor, and 0.1" leaded capacitor.|C13|0402-CAP|CAP0402-CAP|2
10uF|Capacitor PolarizedThese are standard SMD and PTH capacitors. Normally 10uF, 47uF, and 100uF in electrolytic and tantalum varieties. Always verify the external diameter of the through hole cap, it varies with capacity, voltage, and manufacturer. The EIA devices should be standard.|C13, C19|EIA3216|CAP_POL1206|2
Green|LEDsStandard schematic elements and footprints for 5mm, 3mm, 1206, and 0603 sized LEDs. 5mm - Spark Fun Electronics SKU : COM-00529 (and others)|D3|0603-LED-ALT1|LED|1
ARDUINO_SERIAL_PROGRAMPTH||FTDI|1X06|ARDUINO_SERIAL_PROGRAMPTH|1
